Genre,Master Genre
"['dance pop', 'post-teen pop', 'pop', 'talent show', 'neo mellow', 'pop rock']",Pop
"['permanent wave', 'irish rock', 'rock']",Rock
"['miami hip hop', 'emo rap', 'trap', 'vapor trap', 'social media pop', 'rap']",Rap
"['rap latina', 'reggaeton', 'trap latino', 'latin', 'latin pop']",Latin
"['latin', 'pop reggaeton', 'panamanian pop', 'reggaeton', 'pop peruano', 'latin pop', 'latin hip hop', 'trap latino']",Latin
"['swedish electropop', 'swedish pop', 'swedish synthpop', 'electropop']",Pop
['modern alternative pop'],Pop
"['rap', 'trap', 'pop rap', 'hip hop', 'southern hip hop', 'underground hip hop']",Rap
"['pop dance', 'slap house', 'edm', 'dutch house', 'tropical house', 'progressive electro house', 'electro house', 'dance pop', 'pop']",EDM
"['pop urbaine', 'french hip hop', 'francoton', 'rap francais']",Rap
['german hip hop'],Hip-Hop
"['heartland rock', 'rock', 'classic rock', 'mellow gold', 'singer-songwriter', 'roots rock', 'album rock', 'soft rock', 'pop rock', 'folk rock']",Rock
"['rock', 'heartland rock', 'classic rock', 'album rock', 'mellow gold', 'roots rock', 'folk rock', 'soft rock', 'pop rock', 'hard rock']",Rock
"['pop rap', 'rap', 'hip hop']",Rap
"['contemporary country', 'country road']",Country
"['melodic rap', 'rap', 'atl hip hop', 'plugg', 'trap', 'southern hip hop', 'pop rap', 'hip hop']",Rap
['london rap'],Rap
"['german hip hop', 'german pop']",Hip-Hop
"['funk rock', 'funk metal', 'permanent wave', 'alternative rock', 'rock']",Rock
"['pop', 'uk pop', 'alt z', 'post-teen pop', 'dance pop', 'electropop', 'tropical house', 'indie poptimism', 'pop dance', 'edm']",EDM
"['reggaeton', 'latin hip hop', 'latin', 'trap latino', 'reggaeton flow']",Latin
"['r&b', 'pop rap', 'urban contemporary', 'dance pop', 'trap', 'pop', 'pop r&b', 'rap', 'southern hip hop', 'hip hop']",R&B & Soul
"['pop rap', 'trap', 'trap soul', 'r&b', 'southern hip hop', 'pop', 'hip hop']",Rap
"['disco', 'post-disco', 'funk', 'quiet storm']",Pop
"['rap', 'atl hip hop', 'trap', 'pop rap', 'southern hip hop', 'hip hop']",Rap
"['hard rock', 'rock', 'australian rock']",Rock
"['novelty', 'halloween']",Novelty
"['new wave pop', 'new romantic', 'new wave', 'soft rock', 'synthpop', 'mellow gold', 'disco', 'album rock', 'motown', 'quiet storm']",Rock
"['rock', 'hard rock', 'album rock', 'classic rock', 'metal', 'art rock', 'soft rock']",Rock
['halloween'],Novelty
"['virginia hip hop', 'hip hop']",Hip-Hop
"['trap latino', 'reggaeton', 'latin']",Latin
"['emo rap', 'vapor trap', 'underground hip hop']",Hip-Hop
"['metropopolis', 'modern rock', 'pop rock', 'pop', 'tropical house']",Rock
"['vapor trap', 'chicago rap', 'drill', 'trap', 'rap', 'southern hip hop', 'underground hip hop']",Rap
"['dance pop', 'urban contemporary', 'pop', 'r&b']",R&B & Soul
"['emo rap', 'rap']",Rap
"['lgbtq+ hip hop', 'emo rap']",Rap
"['moombahton', 'bmore', 'edm', 'pop dance', 'ninja', 'house', 'tropical house', 'electro house', 'pop', 'dance pop']",Pop
"['new wave pop', 'new romantic', 'synthpop', 'new wave', 'disco', 'europop', 'soft rock']",Pop
['baton rouge rap'],Rap
"['viral rap', 'alabama rap', 'vapor trap', 'trap', 'rap']",Rap
"['neo mellow', 'pop rock', 'acoustic pop', 'pop']",Pop
"['british soul', 'dance pop', 'urban contemporary', 'r&b', 'pop rap']",R&B & Soul
"['adult standards', 'brill building pop', 'rockabilly', 'easy listening', 'lounge', 'vocal jazz']",Jazz
"['rap sardegna', 'italian hip hop', 'italian underground hip hop']",Rap
"['adult standards', 'lounge', 'easy listening', 'brill building pop', 'vocal jazz', 'mellow gold']",Jazz
"['jazz pop', 'adult standards', 'canadian pop', 'lounge']",Jazz
['musical advocacy'],Other
['easy listening'],Pop
"['adult standards', 'lounge', 'easy listening']",Pop
"['beatlesque', 'classic rock', 'rock', 'folk rock', 'album rock', 'art rock', 'mellow gold']",Rock
"['puerto rican pop', 'latin pop']",Latin
"['adult standards', 'lounge', 'easy listening', 'swing', 'vocal jazz']",Jazz
"['rap', 'pop rap', 'hip hop', 'pop']",Rap
"['celtic rock', 'irish folk', 'celtic', 'folk punk', 'celtic punk', 'punk']",Rock
"['sophisti-pop', 'soft rock', 'mellow gold', 'blues rock', 'classic rock', 'art rock']",Rock
"['beatlesque', 'classic rock', 'rock', 'art rock', 'folk rock', 'album rock', 'mellow gold', 'soft rock']",Rock
"['rockabilly', 'rock-and-roll', 'new wave pop']",Rock
"['rap conscient', 'french hip hop', 'old school rap francais', 'pop urbaine', 'francoton']",Rap
"['adult standards', 'vocal jazz', 'lounge', 'soul']",Jazz
"['american folk revival', 'adult standards']",Folk
"['rockabilly', 'rock-and-roll']",Rock
"['ukrainian classical', 'post-romantic era']",Regional
"['adult standards', 'lounge', 'easy listening', 'brill building pop', 'vocal jazz']",Jazz
['a cappella'],Other
"['torch song', 'vocal jazz', 'adult standards', 'lounge']",Jazz
['jazz trio'],Jazz
"['melodic rap', 'rap', 'trap']",Rap
"['dance pop', 'post-teen pop', 'pop']",Pop
"['glam rock', 'piano rock', 'mellow gold', 'soft rock']",Rock
['soft rock'],Rock
"['pop', 'dance pop', 'post-teen pop', 'hip pop']",Pop
"['dance pop', 'europop', 'australian dance', 'electropop', 'australian pop', 'eurodance', 'pop', 'new wave pop']",Pop
"['funk paulista', 'funk carioca']",Regional
"['adult standards', 'brill building pop', 'deep adult standards', 'nashville sound', 'rockabilly', 'traditional country', 'honky tonk', 'rock-and-roll', 'classic country pop', 'easy listening']",Rock
"['colombian pop', 'reggaeton', 'trap latino', 'reggaeton flow']",Latin
"['melodic rap', 'rap', 'trap', 'southern hip hop', 'pop rap', 'hip hop']",Rap
"['baroque pop', 'sunshine pop', 'psychedelic rock', 'folk rock', 'classic rock', 'brill building pop', 'rock']",Rock
"['classic girl group', 'brill building pop', 'motown', 'soul']",R&B & Soul
"['heartland rock', 'singer-songwriter', 'permanent wave', 'mellow gold', 'classic rock', 'rock']",Rock
"['boy band', 'dance pop', 'post-teen pop', 'pop']",Pop
"['hollywood', 'show tunes']",Hollywood
['europop'],Pop
"['torch song', 'adult standards', 'lounge', 'vocal jazz', 'hollywood']",Jazz
"['dance pop', 'british soul', 'talent show', 'post-teen pop', 'europop', 'pop']",Pop
"['dance pop', 'pop', 'post-teen pop', 'hip pop', 'urban contemporary', 'pop rock']",Pop
"['german pop', 'bubblegum dance', 'europop', 'german rock', 'girl group', 'schlager']",Pop
"['heartland rock', 'mellow gold', 'soft rock', 'classic rock', 'yacht rock', 'album rock', 'rock', 'folk rock', 'country rock']",Rock
"['classic canadian rock', 'heartland rock', 'canadian pop', 'canadian singer-songwriter', 'soft rock', 'mellow gold', 'album rock', 'pop rock', 'rock']",Rock
"['glam rock', 'hard rock', 'album rock', 'pub rock', 'blues rock', 'art rock', 'classic rock']",Rock
"['adult standards', 'lounge', 'vocal jazz', 'easy listening']",Jazz
['brill building pop'],Pop
"['girl group', 'dance pop', 'hip pop', 'urban contemporary', 'r&b', 'pop']",Pop
"['cowboy western', 'yodeling', 'traditional country', 'oklahoma country', 'adult standards']",Country
"['glam rock', 'classic uk pop']",Rock
"['adult standards', 'vocal jazz', 'lounge', 'easy listening']",Jazz
['new wave pop'],Pop
"['permanent wave', 'mellow gold', 'new wave pop', 'rock', 'heartland rock', 'art rock', 'soft rock', 'pop rock', 'new wave', 'classic rock']",Pop
"['folk-pop', 'neo-singer-songwriter', 'pop rock', 'pop', 'modern rock']",Pop
"['adult standards', 'soft rock', 'mellow gold', 'folk']",Rock
"['classic uk pop', 'adult standards', 'rock-and-roll', 'brill building pop', 'bubblegum pop', 'soft rock', 'rockabilly', 'mellow gold']",Pop
['movie tunes'],Hollywood
"['torch song', 'deep adult standards', 'adult standards', 'vocal jazz', 'easy listening', 'lounge', 'big band', 'swing']",Jazz
"['adult standards', 'vocal jazz', 'lounge', 'swing', 'big band']",Jazz
['meme rap'],Other
['novelty'],Novelty
"['lounge', 'adult standards', 'torch song', 'vocal jazz', 'swing', 'easy listening', 'soul']",Jazz
"['adult standards', 'brill building pop', 'rock-and-roll', 'doo-wop', 'rockabilly', 'lounge', 'vocal jazz', 'soul']",Rock
"['hollywood', 'post-teen pop', 'show tunes', 'pop', 'dance pop']",Hollywood
"['hollywood', 'show tunes', 'broadway']",Hollywood
"['electro latino', 'latin', 'latin pop', 'reggaeton', 'spanish pop', 'trap latino', 'dance pop']",Latin
"['hip hop', 'atl hip hop', 'dirty south rap', 'rap', 'southern hip hop']",Hip-Hop
"['disco', 'soft rock', 'mellow gold']",Rock
"['reggae fusion', 'dance pop']",Pop
"['permanent wave', 'rock', 'punk', 'classic rock']",Rock
"['new wave pop', 'dance rock', 'sophisti-pop', 'new romantic', 'synthpop', 'new wave', 'mellow gold', 'soft rock', 'europop', 'art rock']",Rock
"['jazz blues', 'soul', 'memphis soul', 'southern soul', 'classic soul']",R&B & Soul
"['beatlesque', 'british invasion', 'merseybeat', 'psychedelic rock', 'classic rock', 'rock']",Rock
"['soft rock', 'yacht rock', 'album rock', 'mellow gold', 'classic rock', 'rock']",Rock
"['movie tunes', 'deep talent show', 'hollywood']",Hollywood
['show tunes'],Hollywood
['talent show'],Hollywood
"['pop', 'dance pop', 'post-teen pop', 'viral pop', 'australian pop', 'electropop']",Pop
"['rap', 'conscious hip hop', 'hip hop', 'southern hip hop', 'trap', 'pop rap', 'underground hip hop', 'gangster rap']",Rap
"['pop rock', 'irish rock']",Rock
"['trap italiana', 'italian pop', 'italian hip hop']",Hip-Hop
"['london rap', 'afroswing', 'uk hip hop']",Hip-Hop
"['electronic trap', 'edm', 'trap', 'electro house', 'pop rap']",EDM
['funk carioca'],Regional
"['pop', 'post-teen pop', 'dance pop', 'electropop', 'pop rap']",Pop
"['italian pop', 'milan indie', 'rap tunisien', 'italian hip hop']",Rap
['chilean hardcore'],Other
"['metropopolis', 'shimmer pop', 'electropop', 'neo-synthpop', 'indie poptimism', 'indie pop', 'dance pop']",Pop
['indonesian hip hop'],Hip-Hop
"['k-pop girl group', 'k-pop']",Pop
"['rap', 'hip hop', 'trap', 'pop rap', 'southern hip hop', 'underground hip hop', 'gangster rap']",Pop
"['tennessee hip hop', 'memphis hip hop', 'trap', 'vapor trap', 'southern hip hop', 'rap']",Hip-Hop
"['conscious hip hop', 'underground hip hop', 'rap', 'hip hop']",Hip-Hop
"['cali rap', 'vapor trap', 'trap']",Rap
"['uk contemporary r&b', 'r&b', 'pop']",R&B & Soul
"['underground hip hop', 'conscious hip hop', 'alternative hip hop', 'rap', 'southern hip hop', 'hip hop', 'escape room']",Hip-Hop
['gqom'],Other
"['sacramento hip hop', 'cali rap', 'trap']",Hip-Hop
"['brega funk', 'funk carioca']",Regional
"['mexican pop', 'latin pop', 'reggaeton', 'latin', 'pop', 'dance pop']",Latin
"['latin pop', 'latin arena pop', 'latin', 'mexican pop']",Latin
"['uk pop', 'indie cafe pop', 'indie anthem-folk', 'pop', 'modern rock']",Rock
"['rap', 'east coast hip hop', 'hip hop', 'trap']",Hip-Hop
"['indie poptimism', 'indie electropop', 'electropop', 'metropopolis', 'alt z', 'vapor soul']",Pop
"['pop', 'boy band', 'post-teen pop', 'dance pop', 'electropop']",Pop
"['afrofuturism', 'neo soul', 'escape room', 'electropop', 'atl hip hop', 'r&b', 'dance pop', 'pop', 'alternative r&b']",Hip-Hop
"['pop venezolano', 'reggaeton', 'trap latino', 'latin pop', 'latin']",Latin
"['canadian trap', 'rap', 'melodic rap', 'toronto rap', 'pop rap', 'trap', 'canadian hip hop', 'r&b']",Rap
"['k-rap', 'k-pop']",Rap
"['melodic rap', 'trap']",Rap
"['toronto indie', 'canadian indie', 'canadian post-rock', 'ontario indie', 'stomp and holler']",Rock
"['social media pop', 'pop', 'post-teen pop', 'dance pop']",Pop
['israeli pop'],Pop
"['nyc pop', 'electropop', 'alt z', 'indie pop', 'pop', 'post-teen pop', 'indie poptimism', 'dance pop']",Pop
"['comedy rap', 'pop rap', 'rap']",Rap
"['trap triste', 'argentine hip hop', 'trap argentino', 'trap latino']",Latin
"['baroque pop', 'emo', 'modern rock']",Pop
"['contemporary country', 'country', 'pop']",Country
"['alt z', 'pop', 'electropop', 'post-teen pop', 'indie poptimism', 'dance pop', 'indie pop']",Pop
['pop r&b'],R&B & Soul
"['pop electronico', 'latin alternative', 'cumbia', 'latin rock']",Latin
"['pop dance', 'pop', 'tropical house', 'electropop', 'dance pop', 'edm', 'pop edm', 'alt z', 'post-teen pop', 'electro house']",EDM
"['uk alternative pop', 'baroque pop', 'pop']",Pop
['sertanejo universitario'],Other
"['funk carioca', 'funk consciente', 'funk paulista', 'funk ostentacao']",Other
"['bachata', 'hollywood', 'latin']",Latin
"['pop', 'electropop']",Pop
"['trap italiana', 'italian hip hop']",Hip-Hop
"['tropical house', 'pop dance', 'pop edm', 'edm', 'norwegian pop', 'swedish pop', 'dance pop', 'electro house', 'pop']",EDM
"['progressive electro house', 'edm', 'pop dance']",EDM
"['country', 'contemporary country']",Country
"['hamburg hip hop', 'german hip hop', 'deep german hip hop']",Hip-Hop
"['argentine hip hop', 'trap argentino', 'trap latino']",Hip-Hop
"['italian hip hop', 'italian pop']",Hip-Hop
"['uk pop', 'pop', 'dance pop', 'australian pop', 'tropical house', 'post-teen pop', 'pop dance']",Pop
"['italian pop', 'italian adult pop', 'italian hip hop']",Pop
['latin pop'],Pop
"['sheffield indie', 'garage rock', 'permanent wave', 'modern rock', 'rock']",Rock
"['trap italiana', 'italian hip hop', 'italian indie pop']",Hip-Hop
"['melodic rap', 'chicago rap']",Rap
"['eurovision', 'israeli pop']",Pop
"['greek pop', 'eurovision', 'laiko']",Pop
"['czech pop', 'eurovision']",Pop
"['indie cafe pop', 'german pop', 'pop']",Pop
"['trap', 'rap', 'detroit trap', 'detroit hip hop', 'southern hip hop', 'hip hop']",Rap
"['atl trap', 'atl hip hop', 'rap', 'trap']",Rap
"['latin pop', 'bolero', 'latin']",Pop
"['batidao romantico', 'brega funk', 'forro de favela', 'brega romantico', 'funk carioca']",Latin
"['pop dance', 'tropical house', 'edm', 'dance pop', 'electro house', 'pop edm', 'pop']",EDM
"['virginia hip hop', 'rap', 'hip hop', 'southern hip hop', 'trap', 'pop rap', 'alternative hip hop', 'gangster rap', 'underground hip hop']",Hip-Hop
['deep breakcore'],Other
['forro'],Other
"['pop', 'modern rock', 'modern alternative rock', 'rock']",Rock
"['modern country rock', 'contemporary country', 'country road', 'country', 'country pop']",Rock
"['rap', 'hip hop', 'underground hip hop']",Rap
"['batidao romantico', 'pop teen brasileiro', 'brega romantico', 'brega funk', 'funk carioca']",Pop
"['electropop', 'tropical house', 'pop', 'indie poptimism', 'edm']",EDM
"['rap conscient', 'rap belge', 'belgian hip hop', 'pop urbaine', 'french hip hop']",Rap
"['hip hop', 'queens hip hop', 'conscious hip hop', 'rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop']",Hip-Hop
"['pop r&b', 'uk contemporary r&b', 'r&b', 'pop', 'post-teen pop', 'urban contemporary', 'dance pop', 'pop rap']",R&B & Soul
"['r&b', 'urban contemporary', 'pop rap', 'pop', 'dance pop']",R&B & Soul
"['pop urbaine', 'french hip hop']",Hip-Hop
"['funk pop', 'pop nacional', 'funk carioca', 'pagode baiano']",Pop
"['alt z', 'pop', 'electropop']",Pop
"['rap', 'trap', 'pop rap', 'southern hip hop', 'cali rap', 'hip hop', 'gangster rap']",Rap
"['trap latino', 'reggaeton', 'reggaeton flow', 'latin', 'latin hip hop']",Latin
['dance pop'],Pop
"['pop dance', 'edm', 'tropical house', 'electro house']",Pop
"['rap', 'philly rap', 'trap', 'pop rap', 'southern hip hop', 'hip hop']",Rap
"['pop', 'pop rap', 'electropop', 'pop dance']",Rap
"['trap latino', 'reggaeton', 'reggaeton flow', 'latin hip hop', 'latin']",Latin
['house'],Other
"['indie cafe pop', 'pop', 'australian pop', 'pop rock', 'post-teen pop']",Pop
"['latin talent show', 'latin pop', 'spanish pop']",Pop
"['dutch pop', 'dutch house']",Pop
"['trap', 'rap', 'southern hip hop', 'pop rap', 'hip hop', 'melodic rap', 'atl hip hop', 'vapor trap', 'trap soul', 'underground hip hop']",Rap
"['electropop', 'swedish electropop', 'scandipop', 'dance pop', 'art pop', 'swedish pop', 'pop rock', 'europop', 'pop']",Pop
"['pittsburgh rap', 'rap', 'hip hop']",Rap
"['melodic rap', 'miami hip hop', 'vapor trap', 'underground hip hop', 'trap', 'meme rap', 'rap', 'dark trap', 'southern hip hop']",Rap
"['melodic rap', 'rap', 'trap', 'atl hip hop', 'southern hip hop', 'pop rap', 'hip hop']",Rap
"['vapor trap', 'underground hip hop', 'trap', 'rap']",Rap
"['dutch trance', 'pop dance', 'edm', 'trance', 'progressive house']",EDM
"['viral pop', 'latin pop']",Latin
"['new romantic', 'synthpop', 'new wave', 'permanent wave', 'new wave pop', 'soft rock', 'europop']",Rock
"['uk metalcore', 'melodic metalcore', 'metalcore', 'rock']",Rock
"['sudanese pop', 'queens hip hop', 'rap', 'underground hip hop', 'hip hop', 'pop rap']",Hip-Hop
"['pop rap', 'pop']",Rap
"['teen pop', 'pop', 'boy band', 'post-teen pop', 'dance pop']",Pop
"['pop rap', 'rap', 'hip hop', 'southern hip hop', 'detroit hip hop', 'gangster rap', 'boston hip hop', 'hardcore hip hop', 'social media pop']",Rap
"['melodic rap', 'rap conscient', 'vapor trap', 'trap', 'rap']",Rap
"['pop dance', 'tropical house', 'house', 'edm', 'dance pop']",EDM
"['dutch rap pop', 'dutch hip hop', 'dutch pop']",Hip-Hop
"['melodic rap', 'trap', 'vapor trap', 'rap', 'southern hip hop', 'pop rap']",Rap
['italian hip hop'],Hip-Hop
"['viral pop', 'alternative r&b']",R&B & Soul
"['frauenrap', 'kosovan pop', 'romanian pop', 'german hip hop']",Hip-Hop
"['sertanejo pop', 'sertanejo']",Other
"['trap soul', 'pop rap']",Rap
"['boy band', 'rap', 'hip hop']",Rap
"['post-teen pop', 'candy pop', 'canadian pop', 'pop', 'dance pop']",Pop
"['german hip hop', 'german drill', 'albanian hip hop', 'deep german hip hop']",Hip-Hop
"['christian music', 'ccm', 'worship', 'christian alternative rock']",Christian
['escape room'],Other
"['melodic rap', 'rap', 'atl hip hop', 'trap', 'hip hop']",Rap
"['tropical', 'modern salsa', 'latin', 'latin pop', 'salsa']",Latin
"['reggaeton colombiano', 'trap latino', 'reggaeton', 'reggaeton flow', 'latin', 'latin hip hop']",Latin
"['hamburg hip hop', 'german hip hop', 'german pop']",Hip-Hop
['k-rap'],Rap
"['pop', 'post-teen pop', 'r&b']",R&B & Soul
"['post-teen pop', 'r&b', 'pop', 'dance pop']",Pop
"['atl hip hop', 'trap', 'rap', 'southern hip hop']",Rap
"['sertanejo pop', 'sertanejo universitario', 'sertanejo', 'funk carioca']",Regional
"['colombian pop', 'latin pop', 'latin']",Latin
"['german drill', 'german hip hop']",Hip-Hop
"['industrial rock', 'industrial metal', 'wrestling', 'nu metal', 'alternative metal', 'industrial']",Rock
"['east coast hip hop', 'hip hop', 'alternative hip hop']",Hip-Hop
"['italian pop', 'italian adult pop']",Pop
"['post-teen pop', 'dance pop', 'electropop', 'pop', 'canadian pop', 'indie poptimism']",Pop
['k-pop girl group'],Pop
"['puerto rican pop', 'latin pop', 'latin']",Latin
['k-pop'],Pop
"['rap conscient', 'old school rap francais', 'french hip hop']",Rap
"['trap', 'rap', 'atl hip hop', 'southern hip hop', 'pop rap', 'underground hip hop', 'hip hop']",Rap
"['funk bh', 'funk carioca', 'funk ostentacao']",Other
"['miami hip hop', 'underground hip hop']",Hip-Hop
"['big band', 'swing', 'cool jazz']",Jazz
"['r&b', 'pop', 'alternative r&b', 'dance pop']",R&B & Soul
['indie cafe pop'],Pop
"['albanian hip hop', 'german hip hop']",Hip-Hop
"['boy band', 'dance pop']",Pop
"['jazz blues', 'vocal jazz', 'adult standards', 'swing']",Jazz
"['pop rock', 'neo mellow', 'pop', 'dance pop', 'post-teen pop']",Rock
"['uk pop', 'alt z', 'indie cafe pop', 'neo-singer-songwriter', 'post-teen pop', 'pop', 'indie poptimism', 'electropop', 'dance pop']",Rock
"['dance pop', 'pop', 'post-teen pop', 'pop rap', 'electropop']",Pop
"['canadian pop', 'dance pop']",Pop
"['soul', 'chicago soul', 'funk', 'classic soul', 'motown', 'neo soul', 'quiet storm', 'southern soul']",R&B & Soul
"['contemporary country', 'country pop', 'modern country rock']",Country
"['christian pop', 'anthem worship', 'ccm']",Christian
"['funk carioca', 'funk das antigas', 'brazilian edm']",EDM
"['forro', 'sertanejo pop']",Pop
"['pop urbaine', 'rap francais', 'francoton', 'french hip hop', 'azontobeats']",Pop
"['dance pop', 'urban contemporary', 'pop']",Pop
"['funk 150 bpm', 'funk carioca']",Pop
"['electropop', 'pop']",Pop
"['destroy techno', 'dark clubbing', 'electro house']",Pop
"['pop', 'r&b', 'post-teen pop', 'dance pop', 'pop rap']",R&B & Soul
"['italian pop', 'rome indie', 'rap napoletano', 'italian indie pop']",Pop
"['uk alternative pop', 'indie soul', 'art pop', 'electronica']",Pop
"['rap napoletano', 'italian hip hop']",Rap
"['rap', 'pop rap', 'trap', 'cali rap', 'southern hip hop', 'hip hop']",Rap
"['miami hip hop', 'underground hip hop', 'dark trap', 'vapor trap']",Hip-Hop
"['baroque pop', 'modern rock', 'indie rock', 'indie pop']",Rock
"['frauenrap', 'german hip hop', 'german pop']",Hip-Hop
"['cali rap', 'trap']",Rap
"['turkish trap pop', 'turkish hip hop']",Hip-Hop
"['alternative pop rock', 'pop', 'pop rap']",Pop
"['uk pop', 'pop', 'dance pop', 'post-teen pop', 'pop dance', 'tropical house', 'edm']",EDM
"['trap brasileiro', 'reggaeton flow']",Rap
['italian pop'],Pop
"['permanent wave', 'rock', 'classic rock', 'soft rock', 'album rock', 'mellow gold', 'art rock', 'new wave']",Rock
"['urban contemporary', 'neo soul', 'pop', 'r&b', 'hip pop']",R&B & Soul
"['british indie rock', 'modern rock', 'rock', 'pop']",Rock
"['colombian pop', 'reggaeton colombiano', 'salsa choke', 'colombian hip hop', 'latin pop', 'latin alternative', 'latin', 'tropical']",Latin
"['trap latino', 'perreo', 'reggaeton flow', 'reggaeton', 'latin']",Latin
"['trap latino', 'rap dominicano', 'dominican pop', 'reggaeton', 'reggaeton flow', 'latin hip hop', 'latin']",Latin
